CO,PM2.5,PM10,TSP,Slope,Air volume,Distance
18.7,0.73,0.73,0.75,0,0.9,10
19.4,0.73,0.73,0.75,0,0.9,10
19.8,0.73,0.73,0.75,0,0.9,10
20.2,0.72,0.73,0.74,0,0.9,10
20.5,0.72,0.73,0.74,0,0.9,10
20.8,0.7,0.71,0.73,0,0.9,10
21,0.7,0.7,0.72,0,0.9,10
21.1,0.7,0.7,0.72,0,0.9,10
21.2,0.69,0.69,0.71,0,0.9,10
21.2,0.69,0.69,0.71,0,0.9,10
21.1,0.68,0.69,0.71,0,0.9,10
20.9,0.68,0.68,0.7,0,0.9,10
20.8,0.68,0.68,0.7,0,0.9,10
20.6,0.67,0.68,0.69,0,0.9,10
20.2,0.67,0.67,0.69,0,0.9,10
20,0.67,0.67,0.69,0,0.9,10
19.7,0.66,0.67,0.68,0,0.9,10
19.4,0.66,0.67,0.68,0,0.9,10
19.2,0.66,0.67,0.68,0,0.9,10
18.9,0.66,0.67,0.68,0,0.9,10
18.7,0.66,0.67,0.68,0,0.9,10
18.3,0.65,0.66,0.67,0,0.9,10
18,0.65,0.66,0.67,0,0.9,10
17.8,0.64,0.65,0.66,0,0.9,10
17.6,0.64,0.64,0.65,0,0.9,10
17.4,0.64,0.64,0.65,0,0.9,10
17.2,0.63,0.64,0.65,0,0.9,10
17.2,0.63,0.64,0.65,0,0.9,10
16.9,0.62,0.64,0.65,0,0.9,10
16.8,0.62,0.63,0.64,0,0.9,10
16.7,0.62,0.63,0.64,0,0.9,10
16.6,0.62,0.63,0.64,0,0.9,10
16.5,0.62,0.63,0.63,0,0.9,10
16.4,0.61,0.62,0.63,0,0.9,10
16.3,0.61,0.62,0.63,0,0.9,10
16.2,0.61,0.62,0.63,0,0.9,10
16.1,0.6,0.61,0.62,0,0.9,10
16.1,0.6,0.61,0.62,0,0.9,10
16.1,0.6,0.61,0.62,0,0.9,10
16,0.6,0.61,0.62,0,0.9,10
16,0.6,0.61,0.62,0,0.9,10
15.9,0.59,0.6,0.61,0,0.9,10
15.9,0.59,0.6,0.61,0,0.9,10
15.9,0.59,0.6,0.61,0,0.9,10
15.9,0.58,0.59,0.6,0,0.9,10
15.8,0.58,0.59,0.6,0,0.9,10
15.8,0.58,0.59,0.6,0,0.9,10
15.7,0.58,0.59,0.6,0,0.9,10
15.7,0.58,0.59,0.6,0,0.9,10
15.6,0.57,0.58,0.59,0,0.9,10
15.5,0.57,0.58,0.58,0,0.9,10
15.5,0.57,0.58,0.58,0,0.9,10
15.4,0.56,0.57,0.58,0,0.9,10
15.3,0.56,0.57,0.58,0,0.9,10
15.1,0.55,0.56,0.57,0,0.9,10
15.1,0.55,0.56,0.57,0,0.9,10
15,0.55,0.56,0.57,0,0.9,10
14.9,0.54,0.55,0.55,0,0.9,10
14.7,0.54,0.55,0.55,0,0.9,10
14.6,0.52,0.53,0.54,0,0.9,10
14.5,0.51,0.52,0.52,0,0.9,10
14.3,0.51,0.52,0.52,0,0.9,10
14.2,0.5,0.51,0.52,0,0.9,10
14.1,0.5,0.51,0.52,0,0.9,10
14,0.5,0.51,0.52,0,0.9,10
13.9,0.5,0.51,0.51,0,0.9,10
13.8,0.5,0.51,0.51,0,0.9,10
13.7,0.49,0.5,0.5,0,0.9,10
13.5,0.49,0.5,0.5,0,0.9,10
13.4,0.48,0.49,0.5,0,0.9,10
13.3,0.48,0.48,0.49,0,0.9,10
13.3,0.48,0.48,0.49,0,0.9,10
13.2,0.46,0.47,0.47,0,0.9,10
13.1,0.46,0.47,0.47,0,0.9,10
13,0.46,0.47,0.47,0,0.9,10
13,0.46,0.46,0.47,0,0.9,10
13.1,0.46,0.46,0.47,0,0.9,10
13.2,0.45,0.45,0.46,0,0.9,10
13.3,0.45,0.44,0.45,0,0.9,10
13.5,0.44,0.44,0.45,0,0.9,10
13.6,0.43,0.44,0.44,0,0.9,10
13.9,0.43,0.44,0.44,0,0.9,10
14.1,0.42,0.44,0.44,0,0.9,10
14.2,0.42,0.43,0.43,0,0.9,10
14.3,0.42,0.43,0.43,0,0.9,10
14.3,0.41,0.42,0.43,0,0.9,10
14.3,0.41,0.42,0.43,0,0.9,10
14.2,0.41,0.41,0.42,0,0.9,10
14,0.4,0.4,0.41,0,0.9,10
13.9,0.4,0.4,0.41,0,0.9,10
13.7,0.39,0.4,0.4,0,0.9,10
13.6,0.39,0.4,0.4,0,0.9,10
13.4,0.39,0.4,0.4,0,0.9,10
13.3,0.39,0.39,0.39,0,0.9,10
13.1,0.39,0.39,0.39,0,0.9,10
13,0.38,0.38,0.38,0,0.9,10
12.9,0.38,0.38,0.38,0,0.9,10
12.9,0.37,0.38,0.38,0,0.9,10
12.8,0.36,0.37,0.37,0,0.9,10
12.8,0.36,0.37,0.37,0,0.9,10
12.7,0.36,0.37,0.37,0,0.9,10
12.6,0.36,0.36,0.37,0,0.9,10
12.6,0.36,0.36,0.37,0,0.9,10
12.5,0.35,0.35,0.36,0,0.9,10
12.5,0.35,0.35,0.36,0,0.9,10
12.5,0.34,0.35,0.35,0,0.9,10
12.4,0.34,0.34,0.34,0,0.9,10
12.4,0.34,0.34,0.34,0,0.9,10
12.3,0.33,0.34,0.34,0,0.9,10
12.2,0.33,0.34,0.34,0,0.9,10
12.1,0.33,0.34,0.34,0,0.9,10
12,0.33,0.33,0.34,0,0.9,10
11.9,0.33,0.33,0.34,0,0.9,10
11.8,0.32,0.33,0.33,0,0.9,10
11.6,0.32,0.33,0.33,0,0.9,10
11.5,0.32,0.33,0.33,0,0.9,10
11.4,0.32,0.33,0.33,0,0.9,10
11.3,0.32,0.33,0.33,0,0.9,10
11.2,0.32,0.33,0.33,0,0.9,10
11.1,0.31,0.32,0.32,0,0.9,10
11,0.31,0.32,0.32,0,0.9,10
10.8,0.31,0.32,0.32,0,0.9,10
10.8,0.31,0.32,0.32,0,0.9,10
10.7,0.31,0.31,0.32,0,0.9,10
10.7,0.31,0.31,0.32,0,0.9,10
